If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1676074346,17,2895
1676075246,17,2903
1676076146,17,2921
1676077046,16,2908
1676077946,17,2909
1676078846,17,2906
1676079746,17,3174
1676080646,16,3023
1676081546,17,2911
1676082446,17,2900
1676083346,17,2899
1676084246,17,2955
1676085146,17,2901
1676086046,16,2917
1676086946,17,3080
1676087846,17,2914
1676088746,17,2896
1676089646,17,2922
1676090546,16,3574
1676091446,16,2913
1676092346,17,3444
1676093246,16,2905
1676094146,17,2904
1676095046,18,2923
1676095946,17,2899
1676096846,16,2924
1676097746,18,2911
1676098646,16,2963
1676099546,16,2901
1676100446,17,2887
1676101346,17,2911
1676102246,17,2902
1676103146,17,3479
1676104046,17,3050
1676104946,17,3006
1676105846,17,2912
1676106746,18,2921
1676107646,18,2904
1676108546,19,2947
1676109446,21,2939
1676110346,23,2911
1676111246,24,2914
1676112146,24,2900
1676113046,25,2919
1676113946,26,3558
1676114846,33,3315
1676115746,35,3068
1676116646,29,3368
1676117546,31,3482
1676118446,28,3967
1676119346,34,2890
1676120246,33,2894
1676121146,34,2905
1676122046,34,2891
1676122946,33,2939
1676123846,28,3572
1676124746,32,2890
1676125646,30,2897
1676126546,29,2896
1676127446,28,2895
1676128346,25,3359
1676129246,24,3313
1676130146,24,3163
1676131046,23,2911
1676131946,23,2893
1676132846,20,2888
1676133746,20,2955
1676134646,19,2912
1676135546,18,2912
1676136446,17,2893
1676137346,17,3657
1676138246,17,2920
1676139146,17,2893
1676140046,16,2915
1676140946,16,3395
1676141846,17,2921
1676142746,17,2892
1676143646,16,3098
1676144546,17,2895
1676145446,18,2903
1676146346,17,3477
1676147246,16,3296
1676148146,17,3061
1676149046,17,3583
1676149946,17,3235
1676150846,16,2967
1676151746,17,2902
1676152646,17,2913
1676153546,16,2968
1676154446,16,2893
1676155346,17,2891
1676156246,17,3259
1676157146,17,2914
1676158046,17,3163
1676158946,17,2928
1676159846,17,3376
