If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1675037546,17,2946
1675038446,17,2958
1675039346,16,2946
1675040246,16,2957
1675041146,16,2948
1675042046,17,2951
1675042946,16,2947
1675043846,17,2954
1675044746,16,2945
1675045646,17,2946
1675046546,17,2949
1675047446,16,2945
1675048346,16,2957
1675049246,17,2950
1675050146,17,2958
1675051046,17,2951
1675051946,17,2955
1675052846,17,2948
1675053746,17,2953
1675054646,17,2949
1675055546,17,2954
1675056446,16,2946
1675057346,17,2948
1675058246,17,2947
1675059146,17,2945
1675060046,16,2946
1675060946,16,2959
1675061846,17,2948
1675062746,17,2956
1675063646,17,2948
1675064546,17,2945
1675065446,16,2950
1675066346,17,2954
1675067246,16,2980
1675068146,16,2949
1675069046,17,2946
1675069946,16,2949
1675070846,16,2946
1675071746,17,2948
1675072646,18,2951
1675073546,19,2949
1675074446,19,2945
1675075346,20,2947
1675076246,21,2949
1675077146,22,2945
1675078046,22,2947
1675078946,23,2947
1675079846,24,2948
1675080746,25,2946
1675081646,25,2950
1675082546,25,2955
1675083446,25,2947
1675084346,26,2948
1675085246,26,2947
1675086146,26,2949
1675087046,26,2960
1675087946,25,2950
1675088846,24,2953
1675089746,24,2944
1675090646,22,2950
1675091546,20,2944
1675092446,20,2945
1675093346,21,2944
1675094246,19,2949
1675095146,18,2941
1675096046,17,2951
1675096946,17,2956
1675097846,17,2951
1675098746,17,2949
1675099646,17,2951
1675100546,17,2944
1675101446,17,2941
1675102346,16,2956
1675103246,16,2947
1675104146,17,2958
1675105046,17,2954
1675105946,17,2946
1675106846,17,2953
1675107746,17,2960
1675108646,17,2957
1675109546,17,2962
1675110446,16,2953
1675111346,17,2946
1675112246,17,2952
1675113146,16,2952
1675114046,17,2953
1675114946,16,2953
1675115846,17,2957
1675116746,16,2964
1675117646,17,2958
1675118546,16,2961
1675119446,17,2961
1675120346,16,2959
1675121246,17,2958
1675122146,16,2954
1675123046,16,2943
