If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1676247146,16,3411
1676248046,17,2903
1676248946,17,2935
1676249846,16,2919
1676250746,17,3580
1676251646,17,2993
1676252546,17,3177
1676253446,17,2931
1676254346,16,2898
1676255246,17,2929
1676256146,17,3086
1676257046,16,2979
1676257946,17,2900
1676258846,17,3195
1676259746,17,2957
1676260646,17,2909
1676261546,17,2951
1676262446,16,2915
1676263346,16,2897
1676264246,17,3001
1676265146,17,2916
1676266046,17,3114
1676266946,17,2897
1676267846,16,2900
1676268746,16,3185
1676269646,17,4826
1676270546,17,2927
1676271446,17,3108
1676272346,16,2928
1676273246,17,2937
1676274146,17,2934
1676275046,17,2917
1676275946,16,3063
1676276846,16,2894
1676277746,17,3069
1676278646,16,2899
1676279546,17,3502
1676280446,19,3051
1676281346,19,2903
1676282246,20,3081
1676283146,22,2925
1676284046,23,3576
1676284946,23,3307
1676285846,25,2900
1676286746,27,2964
1676287646,25,3523
1676288546,29,2914
1676289446,25,3550
1676290346,32,2906
1676291246,31,2903
1676292146,32,2903
1676293046,33,2910
1676293946,32,2964
1676294846,35,3479
1676295746,46,2901
1676296646,29,3330
1676297546,28,3394
1676298446,28,3257
1676299346,23,3639
1676300246,27,2897
1676301146,26,3024
1676302046,27,2899
1676302946,24,3093
1676303846,26,2903
1676304746,23,3198
1676305646,22,2930
1676306546,20,2907
1676307446,18,2898
1676308346,18,3015
1676309246,17,2938
1676310146,16,2898
1676311046,17,2935
1676311946,16,3389
1676312846,17,2931
1676313746,17,3069
1676314646,17,2888
1676315546,17,2920
1676316446,16,3830
1676317346,16,2962
1676318246,17,2893
1676319146,17,3045
1676320046,16,2998
1676320946,17,2977
1676321846,17,2920
1676322746,17,3319
1676323646,17,3392
1676324546,17,2899
1676325446,17,2933
1676326346,17,3497
1676327246,16,2908
1676328146,17,2890
1676329046,17,3951
1676329946,17,2913
1676330846,17,2903
1676331746,17,3135
1676332646,17,3304
