If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1677111146,17,2962
1677112046,16,3039
1677112946,17,2965
1677113846,17,2936
1677114746,17,2930
1677115646,17,3008
1677116546,16,3066
1677117446,16,2928
1677118346,18,2980
1677119246,16,2957
1677120146,17,2993
1677121046,16,2986
1677121946,17,3095
1677122846,17,3084
1677123746,17,2963
1677124646,17,2942
1677125546,17,2952
1677126446,17,2935
1677127346,17,2919
1677128246,16,2946
1677129146,17,2925
1677130046,17,2920
1677130946,16,2947
1677131846,16,2935
1677132746,16,2948
1677133646,17,2929
1677134546,17,2949
1677135446,16,2989
1677136346,16,2986
1677137246,18,2932
1677138146,17,2965
1677139046,17,2917
1677139946,17,2941
1677140846,17,2907
1677141746,16,2917
1677142646,18,2913
1677143546,17,2917
1677144446,17,2943
1677145346,18,3111
1677146246,18,3125
1677147146,18,2939
1677148046,19,2926
1677148946,19,2953
1677149846,20,3084
1677150746,19,2971
1677151646,19,3134
1677152546,20,2928
1677153446,20,3079
1677154346,19,2979
1677155246,20,3015
1677156146,20,2932
1677157046,21,2962
1677157946,20,2962
1677158846,20,2917
1677159746,22,2943
1677160646,23,2929
1677161546,22,3150
1677162446,21,2948
1677163346,23,3027
1677164246,21,3537
1677165146,20,3049
1677166046,21,2927
1677166946,22,2929
1677167846,23,2953
1677168746,22,2938
1677169646,22,2947
1677170546,19,2961
1677171446,18,2966
1677172346,19,2933
1677173246,18,3057
1677174146,17,2927
1677175046,17,2963
1677175946,17,3134
1677176846,17,2958
1677177746,17,2948
1677178646,17,3079
1677179546,17,2941
1677180446,16,3035
1677181346,17,2934
1677182246,16,2928
1677183146,17,2950
1677184046,16,2932
1677184946,17,2935
1677185846,17,2966
1677186746,17,2990
1677187646,17,2967
1677188546,17,2931
1677189446,17,2945
1677190346,16,2933
1677191246,17,2945
1677192146,17,2941
1677193046,17,3021
1677193946,17,2931
1677194846,17,2952
1677195746,17,2934
1677196646,17,3011
