If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
946684800,733,10218
946684803,788,10225
946684814,663,10196
946684825,782,10214
946684836,743,10211
946684800,1429,9708
946684800,1499,9716
946684801,1440,9728
946684801,1424,9717
946684801,1648,9719
946684801,1650,9726
946684801,1652,9723
946684801,1650,9722
946684801,1650,9722
946684802,1651,9725
946684802,1653,9726
946684802,1657,9715
946684802,1666,9721
946684802,1662,9724
946684802,1656,9726
946684802,1644,9720
946684802,1632,9724
946684803,1622,9726
946684803,1610,9719
946684803,1612,9714
946684803,1633,9721
946684803,1656,9725
946684803,1679,9725
946684803,1701,9726
946684803,1727,9727
946684804,1757,9715
946684804,1783,9719
946684804,1802,9723
946684804,1806,9723
946684804,1798,9724
946684804,1784,9730
946684804,1766,9723
946684804,1747,9726
946684805,1742,9727
946684805,1745,9718
946684805,1753,9730
946684805,1763,9728
946684805,1770,9725
946684805,1772,9726
946684805,1769,9725
946684805,1768,9725
946684806,1766,9730
946684806,1763,9729
946684806,1763,9728
946684806,1760,9723
946684806,1754,9723
946684806,1750,9730
946684806,1743,9716
946684806,1740,9726
946684807,1741,9723
946684807,1739,9721
946684807,1736,9725
946684807,1730,9725
946684807,1727,9735
946684807,1730,9722
946684807,1732,9716
946684808,1736,9727
946684808,1741,9726
946684808,1744,9727
946684808,1744,9721
946684808,1746,9725
946684808,1747,9724
946684808,1747,9725
946684808,1740,9726
946684809,1730,9727
946684809,1717,9723
946684809,1709,9725
946684809,1717,9730
946684809,1738,9725
946684809,1750,9725
946684809,1756,9726
946684809,1755,9724
946684810,1751,9721
946684810,1753,9720
946684810,1755,9728
946684810,1756,9725
946684810,1758,9728
946684810,1755,9726
946684810,1752,9726
946684810,1751,9728
946684811,1750,9719
946684811,1751,9721
946684811,1750,9723
946684811,1749,9730
946684811,1747,9724
946684811,1748,9725
946684811,1747,9723
946684811,1749,9718
946684812,1748,9726
946684812,1747,9725
946684812,1748,9727
946684812,1749,9723
946684812,1748,9721
946684812,1748,9715
946684812,1747,9723
