If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1675642346,17,2908
1675643246,17,2907
1675644146,16,2915
1675645046,17,2909
1675645946,16,2904
1675646846,16,2918
1675647746,17,2907
1675648646,17,2901
1675649546,17,2910
1675650446,16,2905
1675651346,16,2918
1675652246,16,2902
1675653146,17,2910
1675654046,17,2918
1675654946,17,2917
1675655846,17,2917
1675656746,16,2908
1675657646,16,2908
1675658546,17,2916
1675659446,17,2917
1675660346,17,2910
1675661246,18,2914
1675662146,16,2908
1675663046,17,2905
1675663946,16,2908
1675664846,17,2919
1675665746,17,2914
1675666646,17,2904
1675667546,16,2920
1675668446,17,2918
1675669346,16,2911
1675670246,17,2907
1675671146,16,2907
1675672046,16,2916
1675672946,17,2906
1675673846,17,2914
1675674746,18,2916
1675675646,17,2911
1675676546,19,2914
1675677446,19,2923
1675678346,20,2909
1675679246,22,2913
1675680146,21,2912
1675681046,23,2905
1675681946,28,2912
1675682846,33,2913
1675683746,29,2907
1675684646,33,2910
1675685546,36,2910
1675686446,36,2912
1675687346,45,2913
1675688246,45,2910
1675689146,38,2910
1675690046,31,2903
1675690946,27,2907
1675691846,30,2905
1675692746,30,2897
1675693646,28,2904
1675694546,26,2908
1675695446,27,2903
1675696346,26,2899
1675697246,25,2896
1675698146,26,2910
1675699046,23,2893
1675699946,21,2890
1675700846,19,2898
1675701746,19,2894
1675702646,17,2890
1675703546,16,2897
1675704446,16,2894
1675705346,17,2911
1675706246,17,2902
1675707146,18,2900
1675708046,16,2895
1675708946,16,3001
1675709846,17,2903
1675710746,18,2900
1675711646,16,2898
1675712546,17,2892
1675713446,17,2898
1675714346,17,2901
1675715246,17,2893
1675716146,16,2895
1675717046,16,2892
1675717946,16,2886
1675718846,17,2960
1675719746,17,2912
1675720646,16,2901
1675721546,17,2897
1675722446,16,2891
1675723346,17,2914
1675724246,17,2889
1675725146,17,2904
1675726046,17,2914
1675726946,16,2891
1675727846,16,2896
