If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:106

time,ambient_light,scattered_light
1677370346,17,2958
1677371246,17,2942
1677372146,18,2986
1677373046,17,2952
1677373946,17,2950
1677374846,17,2996
1677375746,17,2949
1677376646,17,2940
1677377546,17,2968
1677378446,16,2941
1677379346,16,3037
1677380246,16,2979
1677381146,17,3022
1677382046,18,3007
1677382946,17,2951
1677383846,17,2950
1677384746,17,3078
1677385646,16,3190
1677386546,17,3023
1677387446,18,2949
1677388346,16,3224
1677389246,18,2945
1677390146,17,2988
1677391046,17,2952
1677391946,18,2940
1677392846,17,2967
1677393746,17,2943
1677394646,17,3123
1677395546,18,3001
1677396446,17,2988
1677397346,17,3025
1677398246,17,2960
1677399146,17,2967
1677400046,17,2955
1677400946,17,2941
1677401846,18,2988
1677402746,18,2957
1677403646,19,2955
1677404546,20,3008
1677405446,20,2938
1677406346,21,2963
1677407246,22,2942
1677408146,21,3024
1677409046,24,2942
1677409946,23,3035
1677410846,25,2960
1677411746,23,2972
1677412646,25,2973
1677413546,25,2949
1677414446,26,2999
1677415346,29,2972
1677416246,30,2990
1677417146,30,3108
1677418046,30,2936
1677418946,28,3015
1677419846,28,2956
1677420746,29,2961
1677421646,27,2963
1677422546,27,2956
1677423446,27,2947
1677424346,25,2956
1677425246,25,3029
1677426146,23,2982
1677427046,23,2975
1677427946,22,2935
1677428846,22,2938
1677429746,21,2956
1677430646,20,3156
1677431546,19,3008
1677432446,18,2999
1677433346,18,2988
1677434246,17,3079
1677435146,16,2959
1677436046,17,2938
1677436946,16,2964
1677437846,17,3028
1677438746,17,2949
1677439646,17,2951
1677440546,17,3037
1677441446,17,3013
1677442346,17,3127
1677443246,16,2940
1677444146,16,2946
1677445046,17,2982
1677445946,16,2954
1677446846,17,2943
1677447746,17,2949
1677448646,17,2934
1677449546,17,3014
1677450446,16,2944
1677451346,16,3010
1677452246,17,2974
1677453146,17,2941
1677454046,17,2944
1677454946,17,2943
1677455846,16,2953
