If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:125

time,ambient_light,scattered_light
1675469038,18,4240
1675469938,17,3895
1675470838,17,3960
1675471738,17,4279
1675472638,17,3904
1675473538,17,4105
1675474438,18,3945
1675475338,17,4049
1675476238,17,4299
1675477138,18,3940
1675478038,18,4104
1675478938,18,3849
1675479838,17,3986
1675480738,18,4048
1675481638,18,3664
1675482538,17,3861
1675483438,17,3930
1675484338,17,3966
1675485238,18,3840
1675486138,18,3847
1675487038,19,3987
1675487938,18,4086
1675488838,18,3574
1675489738,18,3753
1675490638,17,3912
1675491538,18,4192
1675492438,18,4016
1675493338,17,4285
1675494238,17,4284
1675495138,17,3774
1675496038,18,3722
1675496938,18,3583
1675497838,18,3630
1675498738,18,3860
1675499638,18,3470
1675500538,18,3550
1675501438,18,3508
1675502338,19,3504
1675503238,19,3523
1675504138,20,4231
1675505038,21,3563
1675505938,21,3523
1675506838,23,3775
1675507738,24,3650
1675508638,24,4464
1675509538,26,3603
1675510438,28,3507
1675511338,30,3638
1675512238,32,3734
1675513138,33,3747
1675514038,31,3739
1675514938,33,3674
1675515838,34,3754
1675516738,37,3690
1675517638,40,3599
1675518538,37,3745
1675519438,34,3994
1675520338,31,3603
1675521238,31,3706
1675522138,30,3715
1675523038,29,3794
1675523938,26,3666
1675524838,24,3745
1675525738,23,3926
1675526638,22,4684
1675527538,21,4265
1675528438,20,3874
1675529338,18,3778
1675530238,18,3777
1675531138,18,3744
1675532038,17,3403
1675532938,17,3659
1675533838,18,3840
1675534738,18,3613
1675535638,17,3539
1675536538,18,3593
1675537438,17,3936
1675538338,18,4142
1675539238,18,3971
1675540138,18,3884
1675541038,18,3974
1675541938,18,3951
1675542838,18,4080
1675543738,18,4275
1675544638,19,3880
1675545538,17,3949
1675546438,16,3684
1675547338,18,3669
1675548238,17,3916
1675549138,18,3655
1675550038,17,3982
1675550938,18,3924
1675551838,17,4112
1675552738,18,4243
1675553638,17,3790
1675554538,18,3792
