If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:125

time,ambient_light,scattered_light
1676592238,19,20707
1676593138,19,20772
1676594038,19,20940
1676594938,19,20974
1676595838,19,20993
1676596738,18,20727
1676597638,19,20873
1676598538,18,20082
1676599438,18,20726
1676600338,19,20150
1676601238,19,20633
1676602138,18,20838
1676603038,18,20999
1676603938,19,20996
1676604838,18,21223
1676605738,18,21193
1676606638,18,21167
1676607538,19,21494
1676608438,19,21790
1676609338,19,21692
1676610238,19,21856
1676611138,19,21444
1676612038,19,22200
1676612938,19,22036
1676613838,18,21917
1676614738,19,21924
1676615638,18,21567
1676616538,18,21887
1676617438,17,21569
1676618338,18,21952
1676619238,19,21741
1676620138,18,21790
1676621038,19,21913
1676621938,18,21924
1676622838,18,22094
1676623738,18,21904
1676624638,19,22406
1676625538,18,22214
1676626438,20,22219
1676627338,18,22241
1676628238,19,21565
1676629138,18,22151
1676630038,19,22363
1676630938,19,22001
1676631838,19,21816
1676632738,18,22039
1676633638,19,22290
1676634538,21,22031
1676635438,19,22147
1676636338,19,21792
1676637238,19,22213
1676638138,20,22260
1676639038,19,22651
1676639938,20,22021
1676640838,19,21982
1676641738,19,22172
1676642638,19,22306
1676643538,19,22112
1676644438,19,22261
1676645338,19,22257
1676646238,18,22178
1676647138,19,22572
1676648038,19,22005
1676648938,18,22297
1676649838,19,22596
1676650738,19,22445
1676651638,19,22380
1676652538,20,22587
1676653438,19,22537
1676654338,18,22045
1676655238,18,22190
1676656138,19,22099
1676657038,19,22446
1676657938,19,22430
1676658838,19,22645
1676659738,18,22713
1676660638,19,22557
1676661538,18,22743
1676662438,18,22585
1676663338,19,22360
1676664238,18,22656
1676665138,19,22438
1676666038,19,22755
1676666938,18,22619
1676667838,19,22520
1676668738,18,22332
1676669638,18,22945
1676670538,18,22932
1676671438,18,22762
1676672338,19,22986
1676673238,17,22707
1676674138,18,22606
1676675038,19,22646
1676675938,19,22689
1676676838,19,22473
1676677738,18,22881
