If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:125

time,ambient_light,scattered_light
1674777838,18,2785
1674778738,18,2782
1674779638,18,2780
1674780538,18,2780
1674781438,18,2780
1674782338,19,2781
1674783238,18,2781
1674784138,17,2786
1674785038,17,2782
1674785938,18,2788
1674786838,18,2784
1674787738,17,2786
1674788638,17,2792
1674789538,18,2796
1674790438,19,2790
1674791338,18,2788
1674792238,18,2786
1674793138,17,2791
1674794038,18,2791
1674794938,18,2791
1674795838,18,2789
1674796738,18,2802
1674797638,18,2789
1674798538,18,2796
1674799438,19,2799
1674800338,18,2791
1674801238,17,2790
1674802138,17,2793
1674803038,18,2795
1674803938,18,2797
1674804838,18,2794
1674805738,18,2789
1674806638,17,2807
1674807538,18,2800
1674808438,18,2808
1674809338,18,2799
1674810238,18,2876
1674811138,18,2802
1674812038,19,2807
1674812938,19,2820
1674813838,20,2789
1674814738,21,2790
1674815638,23,2852
1674816538,24,2815
1674817438,26,2801
1674818338,30,2832
1674819238,30,2804
1674820138,28,2778
1674821038,31,2781
1674821938,33,2788
1674822838,37,2776
1674823738,32,2782
1674824638,36,2779
1674825538,34,2778
1674826438,36,2780
1674827338,38,2781
1674828238,36,2782
1674829138,34,2782
1674830038,31,2781
1674830938,28,2786
1674831838,25,2788
1674832738,24,2788
1674833638,23,2788
1674834538,22,2781
1674835438,20,2783
1674836338,19,2780
1674837238,18,2806
1674838138,18,2802
1674839038,17,2811
1674839938,18,2807
1674840838,18,2811
1674841738,18,2823
1674842638,18,2814
1674843538,17,2816
1674844438,18,2819
1674845338,18,2828
1674846238,18,2815
1674847138,18,2818
1674848038,18,2817
1674848938,18,2826
1674849838,17,2820
1674850738,17,2828
1674851638,18,2824
1674852538,18,2823
1674853438,19,2806
1674854338,18,2832
1674855238,17,2816
1674856138,17,2831
1674857038,18,2840
1674857938,18,2819
1674858838,18,2801
1674859738,17,2818
1674860638,18,2849
1674861538,18,2879
1674862438,17,2832
1674863338,18,2816
