If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1676160859,10,3569
1676161759,11,3570
1676162659,11,3585
1676163559,12,3563
1676164459,12,3603
1676165359,11,3425
1676166259,11,3517
1676167159,11,3555
1676168059,10,3659
1676168959,11,3625
1676169859,12,3540
1676170759,11,3580
1676171659,11,3529
1676172559,12,3548
1676173459,12,3592
1676174359,10,3592
1676175259,11,3615
1676176159,12,3577
1676177059,11,3663
1676177959,12,3626
1676178859,11,3531
1676179759,12,3571
1676180659,10,3521
1676181559,10,3554
1676182459,11,3655
1676183359,10,3517
1676184259,11,3551
1676185159,11,3567
1676186059,11,3632
1676186959,11,3519
1676187859,11,3914
1676188759,12,3574
1676189659,11,3679
1676190559,12,3484
1676191459,11,3527
1676192359,11,3475
1676193259,12,3529
1676194159,11,3568
1676195059,12,3547
1676195959,13,3616
1676196859,15,3611
1676197759,16,3631
1676198659,17,3590
1676199559,17,3636
1676200459,20,3657
1676201359,18,3807
1676202259,20,3822
1676203159,21,3548
1676204059,22,3604
1676204959,24,3693
1676205859,24,3623
1676206759,21,3623
1676207659,22,3600
1676208559,21,3493
1676209459,21,3661
1676210359,22,3655
1676211259,19,3714
1676212159,19,3695
1676213059,18,3685
1676213959,16,3647
1676214859,17,3680
1676215759,15,3699
1676216659,15,3587
1676217559,14,3585
1676218459,13,3634
1676219359,13,3623
1676220259,12,3700
1676221159,11,3577
1676222059,12,3714
1676222959,10,3706
1676223859,11,3612
1676224759,12,3644
1676225659,11,3653
1676226559,11,3626
1676227459,11,3666
1676228359,10,3686
1676229259,11,3533
1676230159,10,3637
1676231059,11,3726
1676231959,10,3641
1676232859,11,3623
1676233759,10,3751
1676234659,12,3704
1676235559,11,3549
1676236459,11,3693
1676237359,11,3734
1676238259,12,3722
1676239159,11,3706
1676240059,10,3732
1676240959,11,3687
1676241859,12,3675
1676242759,11,3518
1676243659,11,3689
1676244559,11,3735
1676245459,11,3724
1676246359,11,3609
