If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1677543259,16,14629
1677544159,16,14637
1677545059,16,14627
1677545959,17,14632
1677546859,16,14641
1677547759,16,14641
1677548659,16,14644
1677549559,16,14645
1677550459,16,14648
1677551359,17,14645
1677552259,15,14647
1677553159,16,14652
1677554059,16,14648
1677554959,17,14653
1677555859,16,14637
1677556759,17,14645
1677557659,16,14643
1677558559,17,14651
1677559459,16,14654
1677560359,16,14652
1677561259,16,14656
1677562159,16,14658
1677563059,16,14654
1677563959,17,14662
1677564859,16,14656
1677565759,16,14659
1677566659,16,14663
1677567559,16,14658
1677568459,16,14668
1677569359,17,14668
1677570259,17,14662
1677571159,17,14668
1677572059,16,14667
1677572959,16,14670
1677573859,17,14676
1677574759,16,14672
1677575659,17,14677
1677576559,16,14674
1677577459,17,14675
1677578359,16,14676
1677579259,16,14676
1677580159,16,14678
1677581059,15,14672
1677581959,16,14670
1677582859,17,14682
1677583759,16,14686
1677584659,17,14676
1677585559,16,14677
1677586459,16,14674
1677587359,16,14673
1677588259,17,14685
1677589159,17,14684
1677590059,16,14684
1677590959,196,14688
1677591859,379,14445
