If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1674864859,12,2819
1674865759,13,2829
1674866659,12,2818
1674867559,12,2823
1674868459,12,2819
1674869359,11,2822
1674870259,11,2822
1674871159,12,2824
1674872059,11,2817
1674872959,12,2821
1674873859,12,2827
1674874759,13,2828
1674875659,12,2824
1674876559,12,2822
1674877459,12,2820
1674878359,12,2823
1674879259,12,2823
1674880159,12,2820
1674881059,12,2827
1674881959,13,2819
1674882859,12,2822
1674883759,11,2817
1674884659,12,2823
1674885559,12,2822
1674886459,12,2828
1674887359,12,2830
1674888259,12,2821
1674889159,12,2823
1674890059,12,2831
1674890959,12,2826
1674891859,13,2823
1674892759,12,2834
1674893659,12,2824
1674894559,12,2818
1674895459,12,2825
1674896359,12,2827
1674897259,12,2822
1674898159,12,2825
1674899059,12,2827
1674899959,12,2817
1674900859,13,2826
1674901759,14,2822
1674902659,15,2827
1674903559,17,2825
1674904459,17,2822
1674905359,17,2823
1674906259,18,2820
1674907159,18,2821
1674908059,19,2817
1674908959,21,2829
1674909859,21,2823
1674910759,20,2820
1674911659,18,2827
1674912559,17,2822
1674913459,20,2825
1674914359,19,2824
1674915259,18,2825
1674916159,18,2826
1674917059,17,2819
1674917959,18,2823
1674918859,16,2824
1674919759,15,2827
1674920659,16,2822
1674921559,13,2829
1674922459,13,2826
1674923359,13,2824
1674924259,12,2814
1674925159,11,2815
1674926059,12,2820
1674926959,12,2837
1674927859,12,2828
1674928759,11,2838
1674929659,12,2814
1674930559,12,2822
1674931459,13,2819
1674932359,12,2818
1674933259,12,2830
1674934159,12,2821
1674935059,11,2821
1674935959,13,2824
1674936859,12,2824
1674937759,12,2827
1674938659,12,2827
1674939559,11,2824
1674940459,13,2826
1674941359,12,2826
1674942259,12,2828
1674943159,13,2822
1674944059,11,2829
1674944959,11,2823
1674945859,11,2882
1674946759,12,2824
1674947659,13,2830
1674948559,12,2819
1674949459,12,2828
1674950359,11,2830
