If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1675988059,10,3544
1675988959,10,3558
1675989859,10,3643
1675990759,12,3653
1675991659,10,3738
1675992559,11,4038
1675993459,10,4391
1675994359,11,3828
1675995259,12,4048
1675996159,10,4130
1675997059,12,3972
1675997959,11,4074
1675998859,11,4195
1675999759,10,3951
1676000659,11,3924
1676001559,11,4028
1676002459,11,4029
1676003359,10,4012
1676004259,12,4079
1676005159,11,4171
1676006059,11,4151
1676006959,10,4067
1676007859,10,4041
1676008759,12,4018
1676009659,10,3954
1676010559,10,3967
1676011459,10,4086
1676012359,11,4282
1676013259,10,4176
1676014159,12,4111
1676015059,11,4014
1676015959,11,4020
1676016859,10,4074
1676017759,10,3959
1676018659,12,4010
1676019559,11,3983
1676020459,12,3916
1676021359,12,4021
1676022259,13,3968
1676023159,13,4109
1676024059,13,3934
1676024959,16,4140
1676025859,16,4127
1676026759,16,4102
1676027659,16,4049
1676028559,15,4160
1676029459,17,4099
1676030359,16,4194
1676031259,18,4226
1676032159,23,4170
1676033059,23,4346
1676033959,25,4141
1676034859,23,4299
1676035759,18,3911
1676036659,19,4267
1676037559,19,4427
1676038459,17,4360
1676039359,17,4409
1676040259,15,4234
1676041159,17,4484
1676042059,17,4318
1676042959,17,4356
1676043859,16,4425
1676044759,15,4359
1676045659,13,4399
1676046559,12,4364
1676047459,13,4316
1676048359,12,4190
1676049259,11,4396
1676050159,11,4327
1676051059,11,4353
1676051959,12,4277
1676052859,10,4345
1676053759,11,4258
1676054659,10,4363
1676055559,10,4228
1676056459,11,4006
1676057359,10,4145
1676058259,11,4192
1676059159,11,4073
1676060059,12,4202
1676060959,12,4045
1676061859,10,4048
1676062759,10,4088
1676063659,11,4070
1676064559,11,4379
1676065459,11,3991
1676066359,11,4010
1676067259,11,4038
1676068159,10,4162
1676069059,11,4120
1676069959,10,3796
1676070859,11,4072
1676071759,10,4148
1676072659,10,4143
1676073559,11,3999
