If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1675728859,11,3293
1675729759,12,3173
1675730659,11,3126
1675731559,11,3115
1675732459,11,3098
1675733359,12,3101
1675734259,11,3096
1675735159,12,3133
1675736059,10,3129
1675736959,11,3114
1675737859,11,3238
1675738759,12,3232
1675739659,13,3158
1675740559,12,3086
1675741459,11,3354
1675742359,11,3097
1675743259,11,3108
1675744159,10,3176
1675745059,12,3055
1675745959,11,3173
1675746859,12,3239
1675747759,11,3177
1675748659,13,3125
1675749559,12,3084
1675750459,11,3165
1675751359,11,3116
1675752259,11,3157
1675753159,11,3167
1675754059,11,3155
1675754959,10,3207
1675755859,10,3303
1675756759,10,3200
1675757659,10,3142
1675758559,11,3249
1675759459,10,3166
1675760359,12,3169
1675761259,12,3113
1675762159,12,3114
1675763059,13,3132
1675763959,13,3160
1675764859,12,3076
1675765759,14,3115
1675766659,17,3197
1675767559,18,3151
1675768459,19,3196
1675769359,21,3121
1675770259,23,3093
1675771159,23,3184
1675772059,20,3129
1675772959,22,3130
1675773859,22,3191
1675774759,26,3175
1675775659,24,3158
1675776559,24,3224
1675777459,27,3105
1675778359,25,3135
1675779259,24,3223
1675780159,24,3111
1675781059,20,3132
1675781959,21,3112
1675782859,21,3152
1675783759,18,3186
1675784659,16,3065
1675785559,16,3181
1675786459,14,3095
1675787359,13,3082
1675788259,12,3158
1675789159,12,3165
1675790059,11,3134
1675790959,12,3162
1675791859,12,3076
1675792759,11,3079
1675793659,10,3159
1675794559,11,3165
1675795459,12,3265
1675796359,12,3203
1675797259,11,3156
1675798159,11,3157
1675799059,11,3156
1675799959,12,3111
1675800859,11,3248
1675801759,11,3077
1675802659,11,3145
1675803559,12,3252
1675804459,11,3176
1675805359,10,3329
1675806259,10,3136
1675807159,11,3137
1675808059,11,3125
1675808959,10,3141
1675809859,9,3071
1675810759,10,3162
1675811659,11,3097
1675812559,10,3380
1675813459,10,3076
1675814359,12,3151
