If found, please contact tlang@live.unc.edu
Firmware updated: 2023/01/18
OpenOBS SN:120

time,ambient_light,scattered_light
1675210459,13,2815
1675211359,11,2864
1675212259,12,2827
1675213159,10,2843
1675214059,12,2822
1675214959,10,2829
1675215859,11,2824
1675216759,11,2831
1675217659,11,2844
1675218559,12,2848
1675219459,12,2837
1675220359,11,2834
1675221259,11,2849
1675222159,12,2823
1675223059,11,2830
1675223959,12,2829
1675224859,11,2842
1675225759,11,2829
1675226659,11,2817
1675227559,12,2828
1675228459,10,2865
1675229359,11,2838
1675230259,12,2829
1675231159,11,2829
1675232059,12,2866
1675232959,12,2852
1675233859,12,2846
1675234759,13,2848
1675235659,12,2845
1675236559,12,2892
1675237459,12,2841
1675238359,11,2843
1675239259,12,2842
1675240159,12,2899
1675241059,12,2837
1675241959,10,2868
1675242859,12,2851
1675243759,11,2853
1675244659,12,2854
1675245559,13,2842
1675246459,13,2843
1675247359,14,2880
1675248259,15,2841
1675249159,15,2843
1675250059,17,2834
1675250959,19,2835
1675251859,18,2828
1675252759,17,2845
1675253659,17,2832
1675254559,18,2819
1675255459,19,2856
1675256359,20,2838
1675257259,20,2855
1675258159,20,2837
1675259059,20,2841
1675259959,20,2832
1675260859,19,2843
1675261759,18,2831
1675262659,18,2840
1675263559,17,2835
1675264459,16,2842
1675265359,15,2836
1675266259,14,2911
1675267159,14,2876
1675268059,14,2874
1675268959,13,2875
1675269859,12,2919
1675270759,12,2925
1675271659,12,2908
1675272559,11,2929
1675273459,11,2881
1675274359,11,2968
1675275259,12,2944
1675276159,11,2950
1675277059,12,2944
1675277959,12,2993
1675278859,12,2925
1675279759,12,2918
1675280659,11,2957
1675281559,11,2924
1675282459,12,2958
1675283359,12,2942
1675284259,12,2923
1675285159,12,2982
1675286059,12,2916
1675286959,12,2947
1675287859,12,2936
1675288759,11,2949
1675289659,12,2923
1675290559,12,2985
1675291459,12,2982
1675292359,11,2927
1675293259,11,2933
1675294159,12,2916
1675295059,11,2949
1675295959,12,3033
